epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,1.858484,1.777215,10.55,11.24,-0.08127,1.00e-06
2,1.838931,1.761747,11.85,8.28,-0.077184,6.08e-05
3,1.791368,1.725998,15.62,13.61,-0.065369,1.21e-04
4,1.757768,1.695936,18.36,11.83,-0.061831,1.80e-04
5,1.700907,1.647535,20.96,20.12,-0.053372,2.40e-04
6,1.597327,1.582754,23.7,21.89,-0.014573,2.40e-04
7,1.543161,1.555587,29.95,24.26,0.012426,2.98e-04
8,1.430639,1.539502,34.38,24.85,0.108863,2.93e-04
9,1.308764,1.48932,40.89,28.99,0.180555,2.84e-04
10,1.347333,1.469984,40.36,29.59,0.122651,2.71e-04
11,1.180474,1.506381,47.53,28.99,0.325907,2.56e-04
12,1.296987,1.464414,43.23,30.77,0.167426,2.38e-04
13,1.157086,1.42384,49.74,37.87,0.266754,2.18e-04
14,1.101129,1.425186,53.39,39.05,0.324056,1.97e-04
15,1.047309,1.441625,54.95,36.09,0.394316,1.74e-04
16,1.047454,1.439163,55.08,31.95,0.39171,1.50e-04
17,0.999358,1.430553,54.04,33.73,0.431195,1.27e-04
18,0.956847,1.425053,60.03,35.5,0.468206,1.04e-04
19,0.934361,1.422296,60.94,35.5,0.487934,8.26e-05
20,0.88552,1.432944,61.07,37.28,0.547424,6.26e-05
21,0.942001,1.424634,60.94,40.24,0.482634,4.48e-05
22,1.005614,1.431218,61.07,37.87,0.425604,2.96e-05
23,0.912408,1.430108,59.9,39.05,0.5177,1.73e-05
24,0.911779,1.43132,65.62,37.87,0.519541,8.32e-06
25,0.841402,1.433593,62.63,38.46,0.592191,2.84e-06
26,0.932202,1.494302,61.72,35.5,0.562101,3.00e-04
27,0.838931,1.540893,66.15,33.73,0.701962,2.98e-04
28,0.898688,1.516613,64.84,33.73,0.617925,2.93e-04
29,0.853785,1.512497,66.54,36.69,0.658712,2.84e-04
30,0.865616,1.532712,66.93,36.09,0.667096,2.71e-04
31,0.770144,1.556654,70.05,39.05,0.78651,2.56e-04
32,0.761834,1.52669,72.53,37.28,0.764856,2.38e-04
33,0.716526,1.544239,69.27,39.05,0.827714,2.18e-04
34,0.649915,1.566895,76.69,40.83,0.916979,1.97e-04
35,0.724607,1.556098,74.22,42.6,0.83149,1.74e-04
36,0.661393,1.573625,76.3,39.64,0.912232,1.50e-04
37,0.719115,1.561792,77.99,40.83,0.842677,1.27e-04
38,0.715477,1.556175,76.17,41.42,0.840698,1.04e-04
39,0.742715,1.54923,73.83,40.24,0.806515,8.26e-05
40,0.741099,1.568877,74.35,42.6,0.827778,6.26e-05
41,0.649968,1.567654,80.34,42.6,0.917686,4.48e-05
42,0.582706,1.569677,80.86,41.42,0.986972,2.96e-05
43,0.688131,1.572946,78.12,42.01,0.884815,1.73e-05
44,0.557369,1.565733,83.59,42.01,1.008364,8.32e-06
45,0.570962,1.560764,82.03,42.01,0.989801,2.84e-06
46,0.646645,1.617777,77.34,40.83,0.971131,3.00e-04
47,0.779761,1.579572,71.74,40.83,0.799811,2.98e-04
48,0.65223,1.581381,78.78,43.2,0.929151,2.93e-04
49,0.595426,1.570946,80.99,44.38,0.975519,2.84e-04
50,0.58966,1.556052,80.6,46.75,0.966392,2.71e-04
51,0.615455,1.537209,80.6,46.75,0.921755,2.56e-04
52,0.701417,1.528173,77.21,43.79,0.826756,2.38e-04
53,0.619914,1.50555,80.99,40.24,0.885636,2.18e-04
54,0.561618,1.505481,85.16,44.38,0.943863,1.97e-04
55,0.657947,1.504266,77.21,43.2,0.84632,1.74e-04
56,0.68772,1.523733,77.86,44.38,0.836013,1.50e-04
57,0.693752,1.533573,78.78,41.42,0.839821,1.27e-04
58,0.544349,1.535868,83.46,46.75,0.991519,1.04e-04
59,0.528156,1.534194,86.59,44.97,1.006037,8.26e-05
60,0.646314,1.513308,80.6,42.6,0.866994,6.26e-05

# GENERALIZATION METRICS (Swin-Tiny Fracture Type):
# - Max Overfitting Gap: 1.0084
# - Best Val Accuracy: 46.75% (epoch 50)
# - Test Accuracy: 42.35%
# - Train/Test Accuracy Delta: 38.25%
# - Macro F1: 0.3916 | AUC-ROC: 0.8178
# - Training Time: 62.7 minutes
