epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,0.171,0.1587,56.2,78.6,-0.0122,1e-06
2,0.1099,0.082,83.0,95.3,-0.0279,2.08e-05
3,0.0785,0.0774,92.4,96.1,-0.0011,4.06e-05
4,0.0724,0.0705,93.8,97.9,-0.0019,6.04e-05
5,0.0674,0.0746,95.3,97.6,0.0072,8.02e-05
6,0.0617,0.0689,96.7,97.3,0.0072,8.02e-05
7,0.0622,0.0723,96.2,97.2,0.0101,9.76e-05
8,0.0598,0.0673,96.9,97.6,0.0075,9.05e-05
9,0.056,0.0637,97.6,98.7,0.0077,7.96e-05
10,0.055,0.0627,97.7,99.0,0.0076,6.58e-05
11,0.0525,0.0636,98.1,98.9,0.0111,5.05e-05
12,0.0532,0.0596,98.4,99.5,0.0064,3.52e-05
13,0.0526,0.0625,98.4,99.2,0.01,2.14e-05
14,0.0508,0.0591,98.8,99.6,0.0083,1.05e-05
15,0.051,0.0597,98.8,99.6,0.0088,3.42e-06
16,0.0616,0.067,96.7,98.2,0.0054,0.0001
17,0.0597,0.0615,97.0,98.9,0.0018,9.94e-05
18,0.058,0.0628,97.3,98.9,0.0048,9.76e-05
19,0.0553,0.063,97.8,99.4,0.0077,9.46e-05
20,0.0544,0.0686,97.8,97.7,0.0142,9.05e-05
21,0.0538,0.0614,98.1,99.5,0.0076,8.55e-05
22,0.0534,0.0626,97.8,99.0,0.0092,7.96e-05
23,0.0521,0.0644,98.5,98.6,0.0123,7.3e-05
24,0.0518,0.06,98.4,99.5,0.0083,6.58e-05
25,0.0516,0.0606,98.4,99.3,0.009,5.82e-05
26,0.0518,0.0611,98.7,99.0,0.0093,5.05e-05
27,0.0492,0.0601,98.8,99.5,0.0109,4.28e-05
28,0.0495,0.0614,99.8,99.4,0.0119,3.52e-05
29,0.0495,0.0593,98.7,99.5,0.0097,2.8e-05
\n# GENERALIZATION METRICS\n# Max Overfitting Gap: 0.0142\n# Best Val Accuracy: 99.60% (epoch 14)\n# Total Training Time: 503.9 minutes\n
