epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1660.07,2.31162,3.82219,1.62738,0.0009,0.12088,0.00056,0.00015,1.05499,1.48619,0.74922,0.000332919,0.000332919,0.067041
2,2068.41,2.26631,3.25127,1.59432,0.00265,0.23077,0.00452,0.00121,1.03941,1.18671,0.70997,0.00066609,0.00066609,0.0340408
3,2482.64,2.23322,3.20449,1.56603,0.00358,0.48352,0.00929,0.00272,0.9208,1.21635,0.65035,0.00099861,0.00099861,0.00104002
4,2900.78,2.1715,3.21224,1.53682,0.06779,0.03297,0.0113,0.00271,0.99402,1.41609,0.6657,0.000997803,0.000997803,0.000997803
5,3301.82,2.18692,3.10127,1.50073,0.00459,0.6044,0.03555,0.0081,0.91915,1.18505,0.64269,0.000996097,0.000996097,0.000996097
6,3692.99,2.13148,2.98144,1.46317,0.22287,0.07692,0.0564,0.01355,0.87359,1.22176,0.61312,0.000993906,0.000993906,0.000993906
7,4084.1,2.11399,3.03257,1.46537,0.05433,0.20879,0.02981,0.00719,0.84972,1.21409,0.6015,0.000991232,0.000991232,0.000991232
8,4427.79,1.99027,2.89383,1.3644,0.10863,0.07692,0.02403,0.00582,0.92247,1.76124,0.64889,0.000988079,0.000988079,0.000988079
9,4790.27,2.13179,2.93781,1.4543,0.00592,0.59341,0.05681,0.01332,0.88132,1.16609,0.59725,0.000984449,0.000984449,0.000984449
10,5180.1,2.03971,2.86479,1.3924,0.12942,0.08791,0.05043,0.01301,0.84508,1.36486,0.57863,0.000980345,0.000980345,0.000980345
11,5573.66,1.92926,2.82778,1.33408,0.26666,0.0989,0.06231,0.01769,0.89595,1.27022,0.58632,0.000975773,0.000975773,0.000975773
12,5964.4,2.05035,2.81121,1.40897,0.08424,0.04396,0.03394,0.01348,0.87642,1.51238,0.59872,0.000970736,0.000970736,0.000970736
13,6351.33,1.98752,2.77754,1.38969,0.01391,0.42857,0.06444,0.01674,0.84601,1.15187,0.5798,0.000965239,0.000965239,0.000965239
14,6708.33,2.02424,2.79167,1.37956,0.10746,0.07692,0.04515,0.01252,0.83326,1.21444,0.56566,0.000959289,0.000959289,0.000959289
15,7242.35,1.98613,2.86464,1.39359,0.01242,0.59341,0.0733,0.02003,0.84918,1.09501,0.57638,0.000952889,0.000952889,0.000952889
16,8179.25,1.95392,2.70296,1.33645,0.15282,0.07692,0.04879,0.01358,0.84001,1.18249,0.56364,0.000946048,0.000946048,0.000946048
17,9301.01,1.89043,2.63802,1.32717,0.12391,0.15385,0.07326,0.02482,0.81353,1.14228,0.56096,0.000938772,0.000938772,0.000938772
18,9703.72,1.9143,2.67508,1.32632,0.12669,0.07692,0.04239,0.01024,0.86287,1.30522,0.59406,0.000931067,0.000931067,0.000931067
19,10096.9,1.91902,2.64945,1.32635,0.13301,0.2967,0.12961,0.03792,0.80213,1.09718,0.5537,0.000922942,0.000922942,0.000922942
20,10509.4,1.94547,2.70465,1.38119,0.14777,0.08791,0.0944,0.02238,0.80143,1.10186,0.55842,0.000914405,0.000914405,0.000914405
21,10907,1.91876,2.65813,1.33638,0.29293,0.16484,0.12564,0.03326,0.78334,1.52915,0.54833,0.000905463,0.000905463,0.000905463
22,11266.1,1.81188,2.6193,1.28536,0.18078,0.13187,0.08363,0.02105,0.80734,1.28562,0.56034,0.000896127,0.000896127,0.000896127
23,11623.8,1.92292,2.63408,1.3231,0.40534,0.13187,0.15481,0.04622,0.78842,1.26562,0.54609,0.000886404,0.000886404,0.000886404
24,11959.3,1.87658,2.63591,1.31897,0.38022,0.08791,0.11397,0.02636,0.80418,1.39504,0.57218,0.000876305,0.000876305,0.000876305
25,12324.1,1.86028,2.55429,1.29865,0.21437,0.16484,0.15524,0.04004,0.77972,1.15053,0.54623,0.000865839,0.000865839,0.000865839
26,12703.9,1.82726,2.44158,1.25833,0.30231,0.16484,0.12996,0.03874,0.7783,1.29231,0.55054,0.000855018,0.000855018,0.000855018
27,13078.7,1.79457,2.49031,1.2972,0.39368,0.15385,0.16391,0.04777,0.78727,1.24557,0.55811,0.000843851,0.000843851,0.000843851
28,13450.6,1.86972,2.51782,1.32131,0.47189,0.14286,0.17302,0.05739,0.78145,1.00004,0.54705,0.000832349,0.000832349,0.000832349
29,13821.7,1.88151,2.53865,1.30939,0.37433,0.05274,0.18759,0.06076,0.76438,1.06061,0.53535,0.000820525,0.000820525,0.000820525
30,14181.9,1.7689,2.37468,1.25576,0.30053,0.17946,0.14139,0.04324,0.74879,1.14437,0.52784,0.000808389,0.000808389,0.000808389
31,14538.5,1.81984,2.43214,1.26292,0.36003,0.25275,0.22186,0.05778,0.78576,1.191,0.53456,0.000795954,0.000795954,0.000795954
32,14915.7,1.82173,2.43583,1.29049,0.38538,0.18605,0.16856,0.05391,0.77917,1.07362,0.55217,0.000783231,0.000783231,0.000783231
