epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.694,2.68869,6.41315,1.88738,0.10757,0.12088,0.04282,0.01177,1.00352,2.30475,0.74761,0.00199504,0.00199504,0.0820447
2,262.453,2.53568,3.80345,1.834,0.0265,0.37363,0.05342,0.018,0.94057,1.39641,0.71498,0.0039946,0.0039946,0.0640442
3,403.293,2.45584,3.74966,1.72354,0.01567,0.05495,0.00231,0.00065,1.11122,8.56643,0.76136,0.00599243,0.00599243,0.0460421
4,514.16,2.58142,3.78106,1.77713,0.20295,0.02198,0.03698,0.00995,1.08964,1.52663,0.77523,0.00798723,0.00798723,0.0280369
5,618.455,2.6591,3.83957,1.79834,0.19066,0.0989,0.05738,0.02019,1.03565,8.28608,0.7184,0.00997769,0.00997769,0.0100273
6,725.497,2.72494,3.87457,1.8598,0.13693,0.07692,0.03637,0.00884,1.05015,2.20153,0.74398,0.00997288,0.00997288,0.00997288
7,848.48,2.70868,3.89613,1.88489,0.00311,0.01099,0.00165,0.00033,1.18826,1.77013,0.79529,0.00996097,0.00996097,0.00996097
8,985.068,2.73849,3.87779,1.88442,0.02883,0.03297,0.00891,0.00258,1.13147,2.64822,0.79826,0.0099469,0.0099469,0.0099469
9,1121.2,2.8119,3.91819,1.95137,0.26,0.05035,0.06023,0.02027,1.00402,1.44699,0.71707,0.00993068,0.00993068,0.00993068
10,1254.9,2.72199,3.71547,1.85579,0.12508,0.15397,0.05409,0.01267,1.02267,1.73802,0.70918,0.00991232,0.00991232,0.00991232
11,1383.34,2.69265,3.63709,1.82919,0.32604,0.10989,0.09849,0.02992,1.01302,3.96307,0.68883,0.00989183,0.00989183,0.00989183
12,1519.22,2.61186,3.5589,1.82101,0.18006,0.05495,0.06516,0.01413,1.0163,1.71747,0.70546,0.00986922,0.00986922,0.00986922
13,1646.29,2.65037,3.59539,1.81262,0.16227,0.08791,0.04741,0.0132,1.05307,1.77753,0.74053,0.00984449,0.00984449,0.00984449
14,1789.36,2.54774,3.43357,1.74525,0.01883,0.47253,0.04696,0.01315,0.92224,1.29122,0.65123,0.00981765,0.00981765,0.00981765
15,1926.06,2.43556,3.32801,1.70847,0.30434,0.06593,0.05359,0.01213,0.98173,1.51715,0.69309,0.00978873,0.00978873,0.00978873
16,2058.85,2.5052,3.42278,1.68607,0.21014,0.06593,0.05528,0.01562,0.98027,1.63078,0.66285,0.00975773,0.00975773,0.00975773
