epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.674,2.16795,12.6506,1.44266,0,0,0,0,0.94251,5.53549,0.62681,0.000665839,0.000665839,0.000665839
2,285.112,2.25581,5.34012,1.49299,0,0,0,0,0.96854,1.29967,0.61685,0.00133218,0.00133218,0.00133218
3,422.198,2.26661,3.68386,1.44876,0,0,0,0,0.895,1.26108,0.59636,0.00199722,0.00199722,0.00199722
4,557.284,2.24517,3.50069,1.48821,0,0,0,0,0.95086,1.64033,0.83955,0.00199561,0.00199561,0.00199561
5,690.613,2.14396,3.31255,1.40148,0,0,0,0,0.87382,1.23804,0.60145,0.00199219,0.00199219,0.00199219
6,842.401,2.10378,3.20886,1.38886,0,0,0,0,0.85274,1.24307,0.57335,0.00198781,0.00198781,0.00198781
7,977.966,2.09334,3.1624,1.38434,0,0,0,0,0.8442,1.20834,0.5886,0.00198246,0.00198246,0.00198246
8,1117.89,1.94513,3.03234,1.27605,0,0,0,0,0.85426,1.35435,0.59366,0.00197616,0.00197616,0.00197616
9,1265.45,2.07173,3.09834,1.37145,0,0,0,0,0.81649,1.22904,0.54426,0.0019689,0.0019689,0.0019689
10,1433.82,1.9848,2.97325,1.32434,0,0,0,0,0.82735,1.32203,0.56324,0.00196069,0.00196069,0.00196069
11,1605.02,1.92462,2.87167,1.27794,0,0,0,0,0.80278,1.32687,0.54879,0.00195155,0.00195155,0.00195155
12,1760.15,2.02407,2.92882,1.32789,0,0,0,0,0.83289,1.20457,0.55902,0.00194147,0.00194147,0.00194147
13,1912.59,1.93735,2.83163,1.3,0,0,0,0,0.80488,1.27193,0.55166,0.00193048,0.00193048,0.00193048
14,2079.14,1.9786,2.8622,1.30114,0,0,0,0,0.79939,1.2979,0.54611,0.00191858,0.00191858,0.00191858
15,2234.42,1.99024,2.88763,1.33067,0,0,0,0,0.81726,1.13175,0.55817,0.00190578,0.00190578,0.00190578
16,2389.26,1.90587,2.73166,1.27038,0,0,0,0,0.81782,1.18869,0.55591,0.0018921,0.0018921,0.0018921
17,2542.8,1.8545,2.67511,1.26378,0,0,0,0,0.84601,1.31355,0.57587,0.00187754,0.00187754,0.00187754
18,2696.65,1.91231,2.72033,1.29127,0,0,0,0,0.79976,1.07989,0.54108,0.00186213,0.00186213,0.00186213
19,2836.46,1.88676,2.631,1.27185,0,0,0,0,0.82411,1.11119,0.55029,0.00184588,0.00184588,0.00184588
20,2975.12,1.91815,2.66731,1.31479,0,0,0,0,0.79858,1.07306,0.55028,0.00182881,0.00182881,0.00182881
21,3146.93,1.88621,2.68368,1.2911,1,0.07692,0.53845,0.14469,0.79729,1.43873,0.53578,0.00181093,0.00181093,0.00181093
22,3299.66,1.8101,2.61126,1.23079,0.45455,0.05495,0.25531,0.11393,0.80608,1.30865,0.54539,0.00179225,0.00179225,0.00179225
23,3453.51,1.88673,2.64185,1.26615,0,0,0,0,0.78028,1.12874,0.53499,0.00177281,0.00177281,0.00177281
24,3630.38,1.84089,2.64595,1.26439,0.5,0.03297,0.2684,0.12791,0.8063,1.47044,0.53503,0.00175261,0.00175261,0.00175261
25,3791.45,1.85437,2.55098,1.25172,0.61538,0.08791,0.3416,0.10916,0.81354,1.28047,0.54022,0.00173168,0.00173168,0.00173168
26,3952.66,1.82284,2.48376,1.21745,0.66667,0.10989,0.39237,0.1501,0.7925,1.31898,0.53363,0.00171004,0.00171004,0.00171004
27,4114.64,1.77855,2.50551,1.24519,0.66667,0.04396,0.35964,0.17884,0.8136,1.10614,0.55652,0.0016877,0.0016877,0.0016877
28,4281.35,1.87034,2.48271,1.28264,0.72727,0.08791,0.40478,0.17323,0.79377,1.03132,0.5336,0.0016647,0.0016647,0.0016647
29,4451.03,1.82194,2.47953,1.24386,0.69568,0.03297,0.32388,0.18062,0.80506,0.99191,0.546,0.00164105,0.00164105,0.00164105
30,4611.43,1.72109,2.42064,1.19372,0.5,0.01099,0.25274,0.2022,0.76427,1.07508,0.52992,0.00161678,0.00161678,0.00161678
31,4778.84,1.76832,2.42123,1.21892,0.71429,0.05495,0.38561,0.11995,0.80149,1.34754,0.53916,0.00159191,0.00159191,0.00159191
32,4935.29,1.76482,2.43315,1.21107,1,0.01099,0.50549,0.1011,0.81863,1.02929,0.54176,0.00156646,0.00156646,0.00156646
33,5078.92,1.69464,2.34119,1.17431,0.66667,0.08791,0.37874,0.17656,0.80561,1.20516,0.54399,0.00154047,0.00154047,0.00154047
34,5214.08,1.74158,2.4629,1.20054,1,0.01099,0.50549,0.15165,0.80463,1.06662,0.548,0.00151395,0.00151395,0.00151395
35,5368.9,1.81719,2.46504,1.25557,0.62047,0.1978,0.3987,0.17428,0.77844,1.56218,0.55347,0.00148694,0.00148694,0.00148694
36,5511.09,1.61703,2.17258,1.11419,0.61538,0.08791,0.34474,0.15451,0.7818,1.01355,0.52862,0.00145945,0.00145945,0.00145945
37,5645.81,1.80124,2.36815,1.21703,1,0.01099,0.50549,0.15165,0.79733,1.00255,0.53763,0.00143152,0.00143152,0.00143152
38,5795.79,1.81013,2.3288,1.24131,0.75,0.03297,0.38735,0.17994,0.74334,0.98213,0.52869,0.00140318,0.00140318,0.00140318
39,5947.56,1.75575,2.33004,1.22666,0.8,0.08791,0.44271,0.14782,0.76677,1.22148,0.52773,0.00137444,0.00137444,0.00137444
40,6086.52,1.75156,2.33454,1.21149,0.5,0.08791,0.29943,0.14073,0.75832,1.03291,0.52282,0.00134535,0.00134535,0.00134535
41,6221.78,1.76095,2.34116,1.20388,0.66667,0.08791,0.37551,0.13083,0.76882,1.01388,0.53247,0.00131593,0.00131593,0.00131593
42,6354.74,1.71468,2.28937,1.19634,0.6875,0.12088,0.39525,0.13384,0.80041,1.03249,0.54463,0.0012862,0.0012862,0.0012862
43,6487.44,1.71823,2.30892,1.20298,0.75,0.03297,0.3961,0.18389,0.77858,1.01478,0.54367,0.0012562,0.0012562,0.0012562
44,6622.01,1.7246,2.29401,1.18432,0.59459,0.24176,0.39685,0.15496,0.78481,1.25412,0.53214,0.00122596,0.00122596,0.00122596
45,6757.62,1.73249,2.27164,1.2137,0.57143,0.04396,0.30922,0.17348,0.74113,0.95437,0.51847,0.00119551,0.00119551,0.00119551
46,6894.85,1.7052,2.17042,1.17102,0.73684,0.15385,0.44715,0.18508,0.75947,1.09221,0.52991,0.00116487,0.00116487,0.00116487
47,7029.81,1.7026,2.23029,1.2018,0.8,0.04396,0.42057,0.19777,0.73656,0.99845,0.50943,0.00113408,0.00113408,0.00113408
48,7164.89,1.74605,2.30496,1.21336,0.77778,0.07692,0.42602,0.15061,0.74812,1.12986,0.52093,0.00110317,0.00110317,0.00110317
49,7298.48,1.76718,2.26836,1.21681,0.70968,0.24176,0.4779,0.18107,0.75874,1.14562,0.52507,0.00107216,0.00107216,0.00107216
50,7432.76,1.71482,2.15996,1.17105,0.73333,0.24176,0.47829,0.19424,0.7622,1.0562,0.53418,0.0010411,0.0010411,0.0010411
51,7566.16,1.71605,2.26188,1.20802,0.72727,0.17582,0.45618,0.18044,0.76674,1.04411,0.53463,0.00101,0.00101,0.00101
52,7700.74,1.65875,2.17815,1.14281,0.57143,0.17582,0.36237,0.14253,0.74122,1.14391,0.52264,0.000978903,0.000978903,0.000978903
53,7837.71,1.66256,2.19263,1.16359,0.78571,0.12088,0.44797,0.18355,0.75861,1.03217,0.53334,0.000947837,0.000947837,0.000947837
54,7973.11,1.61621,2.07285,1.14294,0.85714,0.13187,0.49544,0.19909,0.73176,1.01072,0.51288,0.000916833,0.000916833,0.000916833
55,8109.19,1.61756,2.02855,1.15642,0.75,0.16484,0.45124,0.17084,0.75788,1.08044,0.5356,0.00088592,0.00088592,0.00088592
56,8244.03,1.66938,2.1345,1.15855,0.7619,0.17582,0.46752,0.17413,0.74094,1.08044,0.51125,0.00085513,0.00085513,0.00085513
57,8377.68,1.64374,2.14565,1.14587,0.83333,0.16484,0.49367,0.17621,0.71755,0.99641,0.49955,0.000824492,0.000824492,0.000824492
58,8512.43,1.66893,2.08537,1.18009,0.61538,0.17582,0.39091,0.16205,0.75373,1.10656,0.51674,0.000794038,0.000794038,0.000794038
59,8648.91,1.7013,2.10892,1.16795,0.78947,0.16484,0.47992,0.17108,0.72672,0.99376,0.50834,0.000763797,0.000763797,0.000763797
60,8783.94,1.53935,1.94609,1.0793,0.76471,0.14286,0.44671,0.20314,0.73125,1.09134,0.50913,0.000733799,0.000733799,0.000733799
61,8920.49,1.6061,2.08024,1.13945,0.83333,0.16484,0.50098,0.19934,0.70513,1.03791,0.5125,0.000704073,0.000704073,0.000704073
62,9064.75,1.62016,2.00605,1.13198,0.76055,0.18681,0.44587,0.17958,0.72086,1.10881,0.51135,0.000674649,0.000674649,0.000674649
63,9212.28,1.61353,1.9973,1.1363,0.875,0.23077,0.54806,0.22159,0.73549,1.07253,0.52075,0.000645557,0.000645557,0.000645557
64,9349.91,1.56917,1.97964,1.10542,0.80645,0.27473,0.53932,0.2193,0.71601,1.11342,0.49842,0.000616824,0.000616824,0.000616824
